fecha,turno,dia_semana,horario,cantidad
01/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,277
02/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,263
03/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,208
04/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,277
05/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,177
06/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,292
07/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,242
08/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,272
09/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,256
10/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,175
11/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,237
12/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,298
13/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,533
14/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,339
15/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,206
16/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,299
17/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,290
18/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,349
19/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,245
20/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,259
21/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,251
22/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,292
23/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,253
24/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,151
25/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,310
26/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,357
27/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,360
28/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,429
29/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,350
30/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,382
01/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,266
02/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,240
03/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,198
04/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,236
05/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,227
06/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,242
07/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,279
08/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,260
09/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,245
10/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,184
11/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,255
12/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,273
13/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,384
14/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,282
15/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,291
16/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,292
17/11/2019,siesta,domingo,De 12:15 hs. a 12:30 hs.,215
18/11/2019,siesta,lunes,De 12:15 hs. a 12:30 hs.,258
19/11/2019,siesta,martes,De 12:15 hs. a 12:30 hs.,275
20/11/2019,siesta,miercoles,De 12:15 hs. a 12:30 hs.,262
21/11/2019,siesta,jueves,De 12:15 hs. a 12:30 hs.,246
22/11/2019,siesta,viernes,De 12:15 hs. a 12:30 hs.,299
23/11/2019,siesta,sabado,De 12:15 hs. a 12:30 hs.,247
